batch,compound,water,octanol,logP
batch_1,1001-52-1,-10.32,15.72,6.22356
batch_1,1003-09-4,1.23,15.12,3.31971
batch_1,100-56-1,-3.54,15.29,4.50037
batch_1,10057-27-9,12.82,18.79,1.42683
batch_1,10061-01-5,-2.5,10.47,3.09983
batch_1,10061-02-6,-2.64,10.42,3.12134
batch_1,100-63-0,-0.33,15.16,3.70211
batch_1,1007-28-9,32.46,29.18,-0.78392
batch_1,102-71-6,31,21.61,-2.24421
batch_1,10498-35-8,-5.81,16.37,5.30102
batch_1,105412-23-5,,37.19,8.88841
batch_1,105-46-4,8.81,15.69,1.64432
batch_1,105-54-4,11.67,18.56,1.64671
batch_1,105-58-8,,,0
batch_1,106-36-5,16.07,21.77,1.3623
batch_1,106-37-6,,,0
batch_1,106-46-7,,,0
batch_1,106-47-8,,,0
batch_1,106-48-9,12.02,13.21,0.28441
batch_1,1068-57-1,18.05,7.96,-2.41151
batch_10,22037-28-1,4.33,16.86,2.99467
batch_10,5/5/2268,1.5,19.36,4.26854
batch_10,22715-68-0,32.45,25.43,-1.67778
batch_10,22913-26-4,10.11,23.14,3.11417
batch_10,23261-20-3,37.53,28.9,-2.06257
batch_10,23361-38-8,19.21,20.61,0.3346
batch_10,2366-52-1,-5.04,9.73,3.53003
batch_10,2390-94-5,7.26,15.95,2.07691
batch_10,2402-78-0,-0.08,18.25,4.38087
batch_10,24108-33-6,8.26,16.21,1.90005
batch_10,2457-47-8,9.05,19.98,2.61227
batch_10,2527-99-3,14.61,28.34,3.28147
batch_10,2539-17-5,18.9,29.57,2.55013
batch_10,25414-22-6,,,0
batch_10,2620-63-5,20.24,15.16,-1.21412
batch_10,26675-46-7,10.04,23.55,3.22889
batch_10,271-95-4,15.95,24.96,2.15339
batch_10,273-53-0,15.6,24.8,2.1988
batch_10,28177-48-2,22.07,19.54,-0.60467
batch_10,2837-89-0,4.23,15.16,2.61227
batch_11,28466-26-4,34.8,23.91,-2.60271
batch_11,2847-30-5,21.94,21.31,-0.15057
batch_11,287-92-3,-2.61,12.64,3.64475
batch_11,28810-38-0,-3.99,19.12,5.52329
batch_11,2882-20-4,7.62,19.01,2.72221
batch_11,2882-21-5,26.54,22.97,-0.85323
batch_11,30031-63-1,41.31,25.64,-3.74513
batch_11,302-72-7,26.54,17.57,-2.14383
batch_11,31820-22-1,5.46,12.77,1.74709
batch_11,319-81-3,-3.87,19.11,5.49222
batch_11,319-94-8,-2.67,22.62,6.04431
batch_11,3208-16-0,2.11,17.89,3.77142
batch_11,321-14-2,23.79,20.77,-0.72178
batch_11,327-54-8,,,0
batch_11,327-57-1,8.66,20.85,2.91341
batch_11,33332-30-8,17.47,20.41,0.70266
batch_11,33332-31-9,18.52,19.66,0.27246
batch_11,3337-68-6,16.25,28.21,2.85844
batch_11,33489-27-9,-5.83,23.92,7.11025
batch_11,33489-28-0,-5.79,23.79,7.06962
batch_12,3354-39-0,-1.28,12.39,3.26713
batch_12,3354-40-3,-0.36,11.55,2.84649
batch_12,3354-42-5,-0.91,17.48,4.39521
batch_12,338-64-7,0.9,9.21,1.98609
batch_12,33873-10-8,13.29,20.51,1.72558
batch_12,33875-95-5,-3.92,19.07,5.49461
batch_12,3400-45-1,10.1,19.88,2.33742
batch_12,3469-69-0,20.32,25.59,1.25953
batch_12,3481-20-7,7.45,24.97,4.18728
batch_12,348-54-9,9.93,16.15,1.48658
batch_12,3510-70-1,-8.19,10.9,4.56251
batch_12,352-61-4,8.16,16.07,1.89049
batch_12,352-87-4,15.5,26.71,2.67919
batch_12,352-93-2,-4.42,7,2.72938
batch_12,354-33-6,8.43,15.12,1.59891
batch_12,35659-69-9,7.96,14.87,1.65149
batch_12,3599-76-6,26.26,43.16,4.0391
batch_12,360-97-4,39.2,31.96,-1.73036
batch_12,8/4/3620,8,13.81,1.38859
batch_12,36355-38-1,50.71,33.15,-4.19684
batch_13,363-81-5,19.03,24.47,1.30016
batch_13,36635-02-6,-3.25,24.42,6.61313
batch_13,36635-03-7,-3.08,24.26,6.53426
batch_13,367-11-3,3.15,14.88,2.80347
batch_13,367-12-4,17.05,14.66,-0.57121
batch_13,367-21-5,12.91,20.22,1.74709
batch_13,367-23-7,,,0
batch_13,367-25-9,13.42,19.52,1.4579
batch_13,371-40-4,8.47,14.91,1.53916
batch_13,371-41-5,15.57,13.67,-0.4541
batch_13,37174-09-7,20.09,24.56,1.06833
batch_13,372-18-9,8.15,18.39,2.44736
batch_13,372-19-0,16.12,20.12,0.956
batch_13,372-20-3,13.67,19.32,1.35035
batch_13,375-01-9,18.03,30.09,2.88234
batch_13,37813-54-0,8.61,18.7,2.41151
batch_13,38557-71-0,8.08,19.58,2.7485
batch_13,38580-89-1,25.68,25.92,0.05736
batch_13,38696-40-1,-5.72,14.48,4.8278
batch_13,3934-20-1,9.27,20.35,2.64812
batch_14,402-45-9,13.67,22.55,2.12232
batch_14,4033-40-3,29.87,30.38,0.12189
batch_14,40685-92-5,19.52,17.11,-0.57599
batch_14,406-95-1,11.32,17.34,1.43878
batch_14,41992-55-6,-3.77,18.91,5.42052
batch_14,421-04-5,2.89,11.51,2.06018
batch_14,426-65-3,23.12,30.82,1.8403
batch_14,431-89-0,7.93,18.9,2.62183
batch_14,434-75-3,18.08,27.52,2.25616
batch_14,4426-79-3,-1.78,17.64,4.64138
batch_14,444-30-4,13.16,21.94,2.09842
batch_14,445-29-4,15.42,21.61,1.47941
batch_14,455-38-9,15.42,21.92,1.5535
batch_14,4562-27-0,32.15,21.74,-2.48799
batch_14,4597-87-9,18.44,17.7,-0.17686
batch_14,462-06-6,3.56,14.64,2.64812
batch_14,463-49-0,-5.38,3.34,2.08408
batch_14,463-82-1,-8.77,10.37,4.57446
batch_14,464-07-3,8.09,15.01,1.65388
batch_14,4684-94-0,11.86,22.45,2.53101
batch_15,4774-14-5,9.25,20.27,2.63378
