Compound: TPCN04756
SMILES:   CC1C(COC2OC(CO)C(O)C(O)C2O)C(OC6OC(CO)C(O)C(O)C6O)CC7(C)CCC3(C)C(=CC=C4C5(C)CC(O)C(O)C(C)(C)C5CCC43C)C17

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     -0.1115  0.1448   -0.0796 
1        SC3        2,16,29              C,C,C                4            54.0     -0.2157  -0.1125  -0.0579 
2        TP1d       3,4                  C,O                  2            36.0     -0.3841  0.1521   -0.0652 
3        SN4a       5,6,7                C,O,C                4            54.0     -0.5967  0.3392   -0.0911 
4        TP1d       8,9                  C,O                  1            36.0     -0.8787  0.3166   -0.0827 
5        TN6        10,11                C,O                  2            36.0     -0.7411  0.5062   0.0615  
6        TN6        12,13                C,O                  2            36.0     -0.5424  0.5367   0.1371  
7        TN6        14,15                C,O                  2            36.0     -0.3875  0.4337   0.0105  
8        TN6        17,18                O,C                  3            36.0     -0.4064  -0.1936  0.0501  
9        TN4a       19,20                O,C                  3            36.0     -0.5597  -0.1901  0.1934  
10       TP1d       21,22                C,O                  1            36.0     -0.4460  -0.0613  0.3176  
11       TN6        23,24                C,O                  2            36.0     -0.5274  -0.3775  0.3481  
12       N5         25,26,27,28          C,O,C,O              2            72.0     -0.4250  -0.4478  0.0966  
13       SC4        30,31,55             C,C,C                4            54.0     -0.0300  -0.1338  -0.1811 
14       TC3        32,33                C,C                  2            36.0     0.1777   -0.2114  -0.1326 
15       SC4        34,35,36             C,C,C                4            54.0     0.2025   0.0005   -0.2146 
16       TC5        37,38                C,C                  2            36.0     0.2408   0.0640   0.0453  
17       SC4        39,53,54             C,C,C                4            54.0     0.4053   0.0788   -0.1227 
18       SC4        40,41,50             C,C,C                4            54.0     0.6035   0.0650   0.0417  
19       SN6        42,43,44             C,C,O                2            54.0     0.6624   -0.0653  0.2448  
20       TN6        45,46                C,O                  2            36.0     0.7717   -0.2187  0.1054  
21       SC4        47,48,49             C,C,C                2            54.0     0.8666   -0.0315  -0.0028 
22       TC3        51,52                C,C                  2            36.0     0.5579   -0.0861  -0.1868 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        13       1.0     
1        2        1.0     
1        8        1.0     
1        13       1.0     
2        3        1.0     
3        4        1.0     
3        5        1.0     
3        7        1.0     
5        6        1.0     
6        7        1.0     
8        9        1.0     
8        12       1.0     
9        10       1.0     
9        11       1.0     
11       12       1.0     
13       14       1.0     
13       15       1.0     
14       15       1.0     
15       16       2.0     
15       17       1.0     
16       17       2.0     
17       18       1.0     
17       22       1.0     
18       19       1.0     
18       21       1.0     
18       22       1.0     
19       20       1.0     
20       21       1.0     
